Code,Date,Code Client,Nit,Code product,Name,Description,Cost,NitProduc
47,2019-11-19 12:45:41,38-194-8795,04-332-7280,GB72 BIHJ 0992 9211 2782 87,Shoes,Home,19881,08-851-8548
02428,2018-04-08 04:08:18,25-207-7091,21-794-5742,FR57 8364 2425 47CN TRMH LG1W P04,Baby,Garden,25653,14-737-5749
80,2020-05-03 20:34:04,71-631-9832,96-684-2029,RO53 ZVXW NEPP S4U7 2V8Q QTFS,Electronics,Baby,9204,30-613-2471
6390,2019-11-16 20:11:31,98-480-9161,10-743-0081,FI33 7505 1274 7345 99,Industrial,Sports,37991,83-994-6743
90776,2018-07-15 22:14:29,59-524-7978,93-772-5817,NL33 JGEZ 6450 2810 88,Sports,Toys,41351,91-065-4912
56,2019-02-25 23:30:57,17-936-2521,48-200-2491,AE27 4021 2076 1188 8907 457,Games,Clothing,32412,63-213-7759
18,2018-08-07 10:35:57,35-219-4199,00-309-1831,GB39 VMBN 0065 9215 0874 12,Sports,Grocery,20876,21-999-5975
70499,2019-05-11 15:22:01,46-086-7650,02-298-8877,BE96 8289 6076 5016,Clothing,Sports,28582,15-500-0588
5,2019-05-22 05:11:40,02-765-8803,97-379-9762,SM16 C418 1283 807B WMZU F4UD VY1,Clothing,Health,41572,12-717-5832
6561,2020-03-06 02:08:04,32-023-3487,90-485-5109,FI24 5615 2347 3279 50,Grocery,Movies,23750,49-398-9624
510,2019-07-11 12:49:24,19-248-3550,95-578-7533,GI60 UOWM FDPF 0ONU H8IR P01,Baby,Grocery,49821,76-220-2238
6491,2018-07-28 12:52:34,83-919-0441,62-068-2796,CR66 9180 5672 0495 2016 4,Clothing,Kids,39474,90-635-2874
0,2018-04-15 03:30:28,34-655-5384,86-940-7664,CH49 1012 2C1I L8MS AZ02 S,Electronics,Garden,10680,06-330-9894
9,2019-04-30 14:43:21,43-567-1906,89-101-1936,GR62 1707 551D EUHE JMYG TC3W CSY,Kids,Automotive,26380,84-933-6488
03199,2019-10-05 13:36:06,72-313-1674,64-732-6997,MC76 1192 6020 40EL FP4A AML5 I42,Books,Baby,25313,99-479-6641
648,2020-02-11 17:49:07,83-521-7711,53-969-8587,SE90 0568 9442 0958 9234 0400,Grocery,Books,44864,52-952-1825
2156,2020-01-22 16:25:22,98-784-5219,88-517-5661,MR27 3445 1313 4652 7869 4231 947,Books,Health,9754,48-372-8771
7274,2019-02-10 00:08:06,46-174-9269,01-178-5606,HR71 0604 1712 7829 3997 2,Health,Movies,6789,91-845-1906
34344,2018-06-09 08:20:36,54-469-2463,29-390-4779,KW28 SDFC 1YYW 1J9V 1RS7 VCJH SO5F SU,Industrial,Outdoors,36800,04-024-0562
8,2020-05-20 00:13:48,00-169-0152,17-575-4988,CZ78 6744 2718 6923 7866 8794,Sports,Kids,33720,76-475-6664
23,2020-09-09 16:48:11,68-891-1453,38-069-0331,GL06 2496 2312 0655 96,Home,Home,9218,17-532-9252
1415,2018-08-10 02:42:03,10-327-6752,87-316-5003,BH26 UGKQ JHGR QMK2 QHRR 1Y,Sports,Clothing,6761,70-928-5061
8847,2019-07-06 03:10:17,76-655-7886,43-380-6716,FR79 6681 2479 11OL 9ENC 8QBN M20,Computers,Grocery,48928,19-683-1250
79652,2018-12-15 14:39:44,24-064-1457,82-796-9382,RO63 XNPK A2GW TRUD XXCB HSOR,Kids,Clothing,17128,42-474-0357
41378,2019-06-09 17:54:13,34-777-4959,39-314-7219,PS82 GQMT 3GKS E7YS KLUQ YIPM RR8C P,Grocery,Books,29484,16-026-3327
11879,2018-06-25 10:08:39,22-857-1470,02-559-9309,PL23 4720 0719 5197 5988 9777 8773,Outdoors,Baby,25724,74-287-6905
37,2019-11-19 18:08:04,40-421-6515,93-937-0409,TR07 1284 1MWP GL1V N8A6 0H4I XL,Garden,Jewelery,18987,69-730-0433
02,2020-01-05 02:18:30,76-155-3531,46-088-8597,PS22 UMKA GT8K YWM2 OFMU LUWL 9BII G,Beauty,Games,7184,47-451-3839
8,2020-07-06 11:30:43,40-914-9809,29-640-6088,LT29 2014 5348 8530 7871,Baby,Books,20865,68-078-3301
7712,2020-08-24 23:02:07,37-038-9234,67-184-3518,GE37 UW16 3217 5951 6132 86,Beauty,Grocery,36894,35-289-8091
209,2018-03-26 10:14:23,20-476-5970,35-369-2701,FR88 6475 3584 383F M8IV MUM1 H93,Movies,Toys,26251,65-775-2323
0,2018-07-27 03:33:11,73-396-6923,45-244-3311,FO85 6492 8840 3883 80,Grocery,Music,32861,77-402-8454
23540,2018-11-02 00:31:29,42-325-6124,98-162-2231,DO33 FTUL 9183 5957 0102 1240 7357,Outdoors,Kids,31479,87-440-0065
116,2019-09-16 01:31:46,68-528-7680,03-164-7569,AE20 9239 5246 9964 1914 934,Industrial,Outdoors,6361,67-833-2813
039,2020-08-21 14:50:11,94-807-5669,76-193-0024,CY49 3713 5089 VEAV 1WVX 1B1P KFCA,Movies,Home,22056,67-873-4529
124,2019-05-27 02:56:57,09-941-7341,50-161-4158,BE34 5433 3361 1167,Automotive,Beauty,39642,45-453-6076
902,2018-05-20 13:49:59,26-327-6229,18-721-4514,FR20 7000 8521 11CL DZU8 A97V F08,Beauty,Grocery,7104,44-292-9049
15886,2020-08-20 15:13:11,02-416-7378,01-758-5780,PT64 5804 4046 8508 2603 5312 4,Movies,Kids,44290,26-635-9313
46,2020-06-27 09:57:26,37-648-0611,94-226-5392,BG26 KHPS 1757 52OC CHCS TK,Kids,Home,42830,30-349-6902
120,2018-04-06 12:36:47,21-128-4920,51-156-7895,IL92 2221 1520 9314 9926 018,Toys,Electronics,25465,88-100-1669
44,2019-07-25 01:59:52,01-638-4389,59-465-7913,SK92 7687 1319 8639 7193 9853,Tools,Home,25072,95-705-3672
22053,2020-08-11 12:39:21,52-091-9034,34-188-5927,PK68 QZTY 05IF 8UCF RXBF NAFQ,Health,Beauty,40710,92-660-7389
74631,2019-10-21 11:13:41,08-930-9910,85-141-1541,FR26 7778 7195 37P1 X43Z CNMQ L10,Outdoors,Electronics,26828,77-266-1417
70932,2020-03-05 06:47:06,65-637-1261,53-227-4506,HU52 0558 3042 6082 5374 1845 6725,Outdoors,Home,47989,73-288-9496
401,2020-07-11 11:37:57,86-377-4161,17-297-7037,MU11 CNMR 4110 2216 0227 4874 360H GB,Electronics,Industrial,16356,44-916-7341
611,2018-06-05 19:53:48,53-145-5350,19-093-8102,KZ98 067A S9SR OAAI DZR8,Kids,Industrial,35385,43-072-4202
400,2019-07-12 05:26:00,14-205-4483,52-435-5523,LI14 6739 41FX VFBR N705 L,Baby,Games,49253,13-886-0542
199,2018-06-06 15:49:05,64-478-2852,86-448-5499,BA15 7727 6037 3671 9667,Garden,Grocery,36970,41-287-8382
3,2019-05-29 06:03:05,77-481-7605,65-686-8719,FR63 0978 4650 06TW IL3C JMZO C83,Games,Tools,5532,12-997-5971
13413,2018-05-06 13:43:43,47-294-2582,82-610-8262,GB86 WMXP 7678 0940 1144 73,Toys,Automotive,22814,27-794-8943
099,2019-12-11 00:50:21,81-493-3242,61-790-9189,MU94 BQUF 2879 3290 1677 0513 077T LS,Home,Tools,7498,75-160-9377
82142,2018-12-05 13:58:16,65-704-0184,09-399-1282,BG35 AHOR 6473 77ND CX3Q PB,Garden,Games,28987,75-868-3732
02524,2019-04-11 23:08:35,16-146-6936,09-958-1070,IL17 7279 7320 7816 0755 652,Outdoors,Toys,6326,43-381-6961
906,2019-05-29 08:27:20,23-262-4356,63-820-4263,FR06 6082 4489 54ZE BNCQ I4YF U61,Beauty,Shoes,21953,97-342-7954
962,2018-12-03 01:28:29,93-499-2805,59-671-2981,MC90 2421 8298 75HL UHPR J8CI 068,Garden,Kids,6128,75-173-0421
89717,2018-11-03 18:17:50,92-526-7920,31-310-2195,FR86 3049 6840 69LN KBMK IMP7 D77,Kids,Industrial,9944,78-848-0440
61,2018-12-04 19:40:34,59-293-4344,97-815-5831,CY24 2662 8612 PYIR J2GM GIE2 P4HL,Sports,Grocery,40537,72-449-2624
1917,2019-07-25 03:13:11,36-408-2966,84-807-2616,FR66 2325 4855 52SL GG32 IWTX C33,Toys,Tools,41317,57-241-4606
67,2018-07-12 01:34:06,29-654-9395,78-302-9620,KW95 PESY FLLU 9XMH AMIR FJ2X USV2 UY,Industrial,Books,37768,50-014-5484
1,2018-04-19 17:22:09,77-212-0998,82-469-9856,MK75 125N O4YD XYM1 V41,Automotive,Industrial,31359,16-395-1920
65,2018-09-17 13:52:52,86-217-9544,39-084-1781,GE76 NI49 0613 9005 9583 58,Grocery,Clothing,13187,41-260-7228
86,2018-07-05 11:24:52,19-922-2059,93-680-2758,IL52 1735 5738 7505 5302 496,Baby,Kids,41777,53-869-7434
8,2020-04-24 11:10:08,14-732-8840,16-889-4986,KW45 YWFF PRAZ HPLW VYT0 9PLZ LPMA ZD,Shoes,Baby,29389,28-922-2350
91770,2018-04-13 04:17:48,33-618-9794,61-672-1478,BA80 1213 1065 2932 1821,Books,Computers,33383,94-377-7857
068,2019-05-23 09:00:19,21-126-5046,04-302-0905,FR35 1272 5391 95W9 P0A4 9UXA 350,Beauty,Grocery,15091,67-386-7953
6,2019-03-26 11:49:25,65-518-0258,87-877-0962,GI48 NHEJ E8MJ WAYU 9TCH DJ0,Books,Toys,7598,85-832-7367
07,2018-05-11 08:07:39,39-146-7290,11-833-2857,TR71 6132 6YIS ST6G YXZO ODDJ SZ,Sports,Automotive,13134,70-532-4152
92,2019-03-06 13:26:40,58-957-5903,89-977-5862,AT72 4671 1918 6862 6590,Outdoors,Automotive,14602,62-249-3180
19096,2019-09-21 18:49:37,07-652-7172,25-533-8144,SI03 2684 5713 3888 471,Home,Computers,45615,22-197-2530
